INI1003063	INI1003063_baseline	INI1003063_LUNG
0.781893969648562	-0.0112416	-0.0138683
1.0	-0.0231065	-0.0406724
0.817610062893082	-0.00658518	-0.0208898
0.8	-0.0343454	-0.0461873
0.8	0.0208639	0.00332072
0.867975947675645	0.00944866	-0.0137775
0.752351097178683	-0.00346147	-0.0149534
0.651282051282051	-0.0139922	-0.0333162
0.791327913279133	-0.0031007	-0.0208161
0.764705882352941	-0.00670887	-0.0224041
0.729805013927577	-0.0246583	-0.0309465
0.776566757493188	0.0214547	0.00260948
0.779069767441861	-0.0261131	-0.0253259
0.70951882279483	-0.000146505	-0.0204848
0.806153846153846	-0.0198309	-0.0326978
0.732970027247957	-0.0186837	-0.0262208
0.563736066163251	-0.0076331	-0.0182964
0.857243187564379	0.00120472	-0.0210454
0.786074333679474	-0.0104553	-0.0268911
0.904	-0.00497251	-0.0187997
0.767123287671233	-0.0323168	-0.0426566
0.845360824742268	0.0142495	-0.00965878
0.78448275862069	0.00105396	-0.013862
0.813602599814299	-0.0169206	-0.027124
0.786324786324786	0.00808142	-0.0073846
0.734769858472523	-0.0343699	-0.0452086
0.511864406779661	-0.00864381	-0.03425
0.753799392097264	-0.042575	-0.0597788
0.720496894409938	-0.0301466	-0.0366199
0.782426778242678	0.00440562	-0.00501465
0.694581280788177	-0.0182817	-0.0366468
0.578947368421053	-0.00436147	-0.0212905
0.727574750830565	-0.0065758	-0.0196174
0.541062801932367	-0.0160458	-0.0336745
0.783333333333333	-0.0058419	-0.0163333
0.79144385026738	-0.00702187	-0.0173825
0.759700413414657	-0.039849	-0.0505216
0.80952380952381	-0.0455241	-0.0614312
0.43343653250774	-0.00848702	-0.0201789
0.816563443403567	-0.0339373	-0.0382231
0.760683760683761	-0.013156	-0.0311827
0.781132075471698	-0.0191423	-0.0312608
0.765217391304348	-0.0540412	-0.0633314
0.816593886462882	0.0105602	0.00200888
0.551724137931035	-0.00097409	-0.00925141
0.762987012987013	-0.0216949	-0.0398226
0.569321533923304	-0.0566127	-0.0582867
0.82716049382716	-0.0045153	-0.0213321
0.795520282186949	0.00963208	-0.0123369
0.81419624217119	0.0247753	0.0102307
0.785920437475738	-0.0209198	-0.0391723
0.820224719101124	-0.0187993	-0.0377437
0.729754786952244	-0.00353107	-0.0153158
0.798782852218871	-0.00492305	-0.0235825
0.6640625	-0.00591968	-0.0176628
0.777188328912467	-0.00347945	-0.0226902
0.813471502590674	-0.028326	-0.0366259
0.724874319664299	-0.0386208	-0.0447126
0.636363636363637	0.0109513	-0.0115651
0.990196078431373	-0.0129053	-0.0237594
0.818913164875052	0.00775903	-0.0133291
0.823069403714565	0.00382404	-0.00985683
0.756183745583039	-0.0144271	-0.0237878
0.796544958459793	-0.00498071	-0.00421659
0.750943396226415	-0.0348714	-0.0508177
0.84549356223176	-0.0039705	-0.0149191
0.769491525423729	-0.0142818	-0.0204002
0.770700636942675	-0.00234601	-0.0178005
0.73788146577118	-0.000372659	-0.0118558
0.891975308641975	-0.0272767	-0.043739
0.825	-0.00764303	-0.0284152
0.798892549517723	-0.0162376	-0.0295894
0.849829351535836	-0.0147368	-0.0253537
0.795918367346939	-0.00988411	-0.0132548
0.84383233725339	-0.0296701	-0.0415613
0.738255033557047	-0.00547911	-0.027579
0.814189189189189	-0.019184	-0.0360284
0.755541346973572	-0.00431127	-0.00965259
0.833855799373041	-0.0117117	-0.0144784
0.753275109170306	-0.0294908	-0.0381053
0.744217137171994	-0.00967078	-0.0178516
0.868804664723032	-0.00902736	-0.00743325
0.71032197450612	-0.00486457	-0.00975676
0.856207623091059	-0.0314051	-0.0425716
0.511029411764706	-0.0182237	-0.0394498
0.873031080155619	-0.00536986	-0.0250348
0.811881188118812	-0.0239678	-0.0425281
0.702797202797203	-0.0178092	-0.0383805
0.837837837837838	-0.0295217	-0.0380561
0.82648401826484	-0.00243635	-0.0219821
0.641447368421053	0.00806109	-0.00374079
0.671936758893281	-0.0315219	-0.0455611
0.778832389875724	-0.0327087	-0.0418701
0.710659898477157	-0.00636784	-0.0138751
0.923694779116466	-0.0250835	-0.0477724
0.797665369649805	-0.000365766	-0.0109726
0.792973889000379	-0.00254542	-0.0262022
0.732899022801303	-0.0258679	-0.0338395
0.86283185840708	-0.0403125	-0.0496294
1.0	-0.0180962	-0.0234121
0.826979472140762	-0.0125348	-0.0172916
0.779291553133515	0.0215491	0.00343782
0.91156462585034	-0.0100812	-0.022448
0.720344798010121	-0.0179641	-0.0364512
0.701244813278008	-0.015471	-0.0196015
0.631578947368421	-0.0253725	-0.0355284
0.852216748768473	0.00479927	-0.00714124
0.833066313736417	-0.011927	-0.0328784
0.838056680161943	-0.0116299	-0.024809
0.893939393939394	0.00365857	-0.0154967
0.747193997379416	-0.0213643	-0.0282497
0.826086956521739	-0.00959455	-0.027304
0.776811594202899	-0.000408717	-0.0156495
0.620614035087719	-0.0293717	-0.0302337
0.753148614609572	-0.00683016	-0.0132349
0.775	-0.0122184	-0.0285692
0.83448275862069	0.0190236	0.00930556
0.719537080223881	-0.024916	-0.0498026
0.865740740740741	-0.0155283	-0.0197038
0.785211267605634	-0.0204101	-0.0327088
0.770318021201414	-0.0157842	-0.0262702
0.618181818181818	-0.0262189	-0.0411044
0.711180124223603	0.000691314	-0.0126317
0.857142857142857	0.00133506	-0.01941
0.828993135715825	-0.0220168	-0.0440449
0.870292887029289	0.0082351	-0.00382251
0.736666666666667	-0.0442409	-0.0558688
0.731034482758621	-0.00818264	-0.0132981
0.692307692307692	-0.0328112	-0.0362189
0.798780487804878	0.00890762	-0.0152878
0.741755189119516	-0.0217243	-0.0371154
0.745283018867925	-0.016295	-0.0277253
0.862433862433863	-0.00760832	-0.0218418
0.236602242901456	-0.00478251	-0.0166904
0.866425992779783	-0.00544043	-0.0208026
0.75939324701701	-0.00511745	-0.0120736
0.720974343615853	-0.014664	-0.0377624
0.831275720164609	-0.000886605	-0.0078067
0.798882681564246	0.00382375	-0.00957538
0.820754716981132	-0.0168184	-0.0275484
0.828125	-0.0232763	-0.0448506
0.784452296819788	-0.00626121	-0.0235684
0.722543352601156	0.00897309	-0.0141071
0.880952380952381	0.00395209	-0.0160526
0.792592592592593	-0.0217082	-0.0366856
0.762121212121212	-0.017206	-0.0415918
0.737205449189985	0.0101412	-0.00436451
0.813084112149533	0.00569909	-0.00210132
0.862804878048781	-0.0304518	-0.0449887
0.79582623811551	0.013101	-0.0140698
0.732342007434944	-0.0129817	-0.0235426
0.825806451612903	-0.017831	-0.037526
0.811594202898551	-0.026027	-0.0481081
0.794117647058824	-0.0175486	-0.0177755
0.786338631838278	-0.0381472	-0.0485076
0.769679300291545	-0.00811244	-0.0356353
0.810699588477366	0.00666545	-0.00595367
0.84247311827957	-0.030786	-0.0377847
0.735973597359736	-0.0101328	-0.0132551
0.901639344262295	-0.00852523	-0.0180351
0.759783878504673	-0.0147737	-0.0254321
0.811926605504587	-1.83752e-05	-0.0187311
0.628975265017668	-0.0304715	-0.0471495
0.802168021680217	-0.0193058	-0.0423073
0.911392405063291	-0.0113803	-0.0255774
0.928571428571428	0.00252528	-0.0114735
0.862751631583785	-0.0117784	-0.0278592
0.862745098039216	-0.00139694	-0.0204175
0.895973154362416	0.0149541	0.000560329
0.660565434843012	-0.0136075	-0.0187972
0.859649122807018	-0.0101827	-0.016695
0.850769230769231	-0.0286186	-0.0437163
0.62163722826087	-0.0378138	-0.0444502
0.908730158730159	-0.0312017	-0.0629412
0.749303621169917	0.00316719	0.00141774
0.695828239608802	-0.0182332	-0.0312662
0.919395465994962	-0.010861	-0.0222354
0.87192118226601	0.00291036	-0.00954925
0.989795918367347	-0.0236254	-0.0375253
0.712765957446809	-0.00695319	-0.00989388
0.679166666666667	-0.0104392	-0.0199006
0.830882352941176	-0.0231507	-0.0330988
0.831597222222222	0.0136343	0.00172369
0.71003717472119	-0.0182956	-0.0383673
0.758733215642219	-0.00992549	-0.0278241
0.710455764075067	-0.0246	-0.0318662
0.711920529801325	-0.014122	-0.0283523
0.739795918367347	0.00498791	-0.0078553
0.759259259259259	-0.0376508	-0.040365
0.767634854771784	0.00171338	-0.00722
0.810897435897436	0.0216868	0.00881613
0.71997659823423	-0.00333742	-0.00826057
0.829032258064516	-0.00310565	-0.00620225
0.631016042780749	-0.00558007	-0.017247
0.823529411764706	0.0014512	-0.0150035
0.844765342960289	-0.0273395	-0.045725
0.704697986577181	-0.00431954	-0.0204231
0.795454545454545	-0.0249507	-0.0330408
0.846394984326019	-0.0129958	-0.0271493
0.6375	-0.0249265	-0.0438392
0.692934782608696	-0.000783312	-0.0202516
0.788194444444445	-0.0127268	-0.0359542
0.76271186440678	-0.0166796	-0.0356655
0.696551724137931	0.00461811	-0.00283496
0.837756909992913	-0.0332717	-0.0464543
0.648745519713262	-0.00918138	-0.0290352
0.549295774647887	-0.0135846	-0.019281
0.829145728643216	-0.00875124	-0.0243781
0.648648648648649	-0.0377142	-0.0535922
0.98876404494382	-0.0380608	-0.0526614
0.797029702970297	-0.0113634	-0.0231486
0.841945288753799	-0.0273738	-0.0386674
