INI50030700	INI50030700_baseline	INI50030700_KIDNEY
4.45472657202647	-0.116437	-0.157468
4.63184030775056	-0.127793	-0.151815
4.72538949303872	-0.074901	-0.10302
4.68544001331285	-0.0410102	-0.0700038
4.42089573079125	-0.0455019	-0.0867683
4.65021235487726	0.00898974	-0.0250452
4.70101620116711	-0.00633433	-0.0189889
4.79272734099822	-0.0643708	-0.117482
4.41800028845932	-0.075018	-0.127353
4.15485638061984	-0.0637762	-0.103285
4.74754989262726	-0.0774069	-0.0766397
4.2864947567341	-0.0977166	-0.111656
4.3532320641001	-0.0648391	-0.125301
4.5723215058341	0.0240166	-0.00847361
4.60046583080883	-0.0541598	-0.0832198
4.77882907255149	-0.0649747	-0.0908724
4.62696490990749	-0.0458298	-0.0828898
4.31554110852124	-0.0602194	-0.105854
4.72533323410362	-0.0694565	-0.0671107
4.65759911034365	-0.0654192	-0.118698
4.45845860644163	0.0185505	-0.0212353
3.38435762500655	-0.0504014	-0.117491
4.45838066339064	-0.122762	-0.16748
4.6585351864822	0.0248052	-0.0483822
4.7039395689129	-0.0381065	-0.0634844
4.67881422010226	-0.0358521	-0.0687914
4.68104194558969	0.0608596	-0.0208795
4.64550225522788	-0.00280522	-0.0584454
4.46786338427488	-0.0595405	-0.106301
4.74081219499163	0.00344279	-0.0543895
4.5782309145781	0.00667744	-0.0397027
4.77197577418998	-0.0520045	-0.10141
4.38039249641203	-0.113958	-0.142415
4.70367932939155	-0.000365134	-0.031893
4.62119482111881	-0.0363739	-0.0857881
4.81205687596974	-0.113413	-0.131278
4.70147520725022	-0.0608047	-0.11114
4.69913435663104	-0.0108978	-0.0505311
4.20920672710013	-0.0613039	-0.0918594
4.20125288484862	-0.0558159	-0.0791004
4.68642113962231	-0.0552778	-0.110133
3.87921702875759	-0.0944242	-0.139095
4.75940968874924	-0.0139619	-0.0480565
4.42156496012026	-0.0557963	-0.123324
4.37179312391686	-0.0588215	-0.100623
4.49760932947656	-0.0279486	-0.0694794
4.81794867643338	-0.0932511	-0.118308
4.56628814421193	-0.104708	-0.160515
4.50291218887719	-0.0874548	-0.119495
4.43039164348273	-0.0378893	-0.0679544
4.40815501016827	-0.0270711	-0.0713376
4.43805050669535	-0.0509899	-0.0879316
4.5787694237652	-0.130023	-0.16688
4.28686446378747	-0.0524424	-0.115823
4.78248792138987	-0.0832971	-0.1064
4.58423293261611	-0.0681006	-0.0991411
4.64780905948244	0.0237455	-0.00222012
4.49727824076608	-0.0251526	-0.0687595
4.55624486108365	-0.0019517	-0.0692701
4.62364960312134	-0.0457371	-0.101338
4.43221558546012	-0.0481998	-0.09494
4.54826856424327	-0.0385911	-0.0667403
4.76191303880903	-0.0704776	-0.103171
4.47499550618697	0.00282617	-0.00886991
4.1630746735859	-0.0297689	-0.0628874
4.45439884707359	-0.123931	-0.159851
3.98735044020364	0.0116749	-0.0048609
4.47431854098616	-0.0327912	-0.0640264
4.51336437523538	-0.108175	-0.144458
4.8747697562614	-0.0521787	-0.119401
4.50570942533024	-0.0203888	-0.0685624
4.39949546827072	-0.0975537	-0.176565
4.42147186497024	-0.0300483	-0.0721833
4.18922711394716	0.0473792	0.0028045
4.69380009917458	-0.0177896	-0.0521945
4.65136971300091	-0.0290499	-0.0918038
4.67711368757051	-0.0103335	-0.0478363
4.56562251199717	-0.0534411	-0.0758429
4.55088532848548	-0.161098	-0.206788
4.40263786167446	-0.0521301	-0.0930747
4.30237573859052	-0.101113	-0.170712
4.10066384892104	-0.101566	-0.111564
4.59493921112204	-0.00726837	-0.0390385
4.51067304490629	-0.0743359	-0.108043
4.61959721082537	-0.050904	-0.114014
4.52281984975337	-0.00662077	-0.0550432
4.6792920202986	-0.0393432	-0.0904658
4.57253356150608	-0.116303	-0.148153
4.56781453768553	-0.0923909	-0.127066
4.50249481984265	-0.0491428	-0.0664402
4.33222711621081	0.0205443	-0.0191303
4.25882789621376	-0.0671596	-0.0970793
4.39615504659227	-0.0958863	-0.153432
4.61025396269794	-0.0398486	-0.0838246
4.72155478899811	-0.0870036	-0.12373
4.81745058637272	-0.0668883	-0.111932
4.40730485632494	-0.0586669	-0.0874949
4.54448403286016	-0.0677195	-0.103054
4.54117318926605	-0.0234099	-0.0632864
4.50663773079112	-0.112536	-0.142541
4.02636405515337	-0.113997	-0.184808
4.44156787074073	-0.038496	-0.07673
4.32889317586564	-0.108176	-0.140933
4.21261504369258	-0.0932459	-0.144486
4.42209354839457	0.0357568	-0.0356624
4.15762679442998	-0.0844738	-0.12773
4.30206770925221	-0.0131353	-0.0543508
4.66244334355254	-0.0689162	-0.0935083
4.54389090783912	-0.0620249	-0.0788252
4.21936462386502	-0.0735745	-0.113229
4.21485255395669	-0.00400587	-0.0619983
4.47880215414335	-0.0579137	-0.109156
4.47488400603791	-0.0933216	-0.142238
4.31604412554318	-0.0569299	-0.0719187
4.22091193881129	-0.0612256	-0.116381
